,number,value,datetime_start,datetime_complete,duration,params_TIME_SERIES_SIZE,params_activation,params_filter_activation,params_learning_rate,params_n_lstm_layers,params_n_preprocessing_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,params_n_units_l5,params_n_units_l6,params_n_units_l7,params_n_units_l8,params_n_units_l9,params_n_units_preprocess_l0,params_n_units_preprocess_l1,params_n_units_preprocess_l2,params_n_units_preprocess_l3,params_n_units_preprocess_l4,params_n_units_preprocess_l5,params_n_units_preprocess_l6,params_n_units_preprocess_l7,params_n_units_preprocess_l8,params_n_units_preprocess_l9,state
0,0,,2024-08-04 09:20:46.836136,2024-08-04 09:20:56.671456,0 days 00:00:09.835320,33,sigmoid,tanh,0.00043715081356111846,8,3,74,284.0,229.0,112.0,219.0,215.0,68.0,73.0,,,366.0,158.0,308.0,,,,,,,,FAIL
1,1,8.501556294504553e-06,2024-08-04 09:21:01.166651,2024-08-04 09:30:22.979524,0 days 00:09:21.812873,39,softmax,sigmoid,0.00046834509470476075,6,1,452,116.0,425.0,109.0,389.0,48.0,,,,,60.0,,,,,,,,,,COMPLETE
2,2,0.0005908998427912593,2024-08-04 09:30:23.012200,2024-08-04 09:37:06.867472,0 days 00:06:43.855272,46,tanh,relu,0.024498593512289606,9,1,66,311.0,309.0,301.0,427.0,10.0,362.0,334.0,348.0,,38.0,,,,,,,,,,COMPLETE
3,3,2.886626759845967e-07,2024-08-04 09:37:06.898025,2024-08-04 09:38:39.456163,0 days 00:01:32.558138,21,elu,sigmoid,2.2324218115383697e-05,1,4,177,,,,,,,,,,370.0,310.0,58.0,153.0,,,,,,,COMPLETE
4,4,7.92751870903885e-06,2024-08-04 09:38:39.485692,2024-08-04 09:44:03.552576,0 days 00:05:24.066884,49,elu,tanh,0.00022990723262770774,3,4,96,329.0,359.0,,,,,,,,221.0,6.0,467.0,21.0,,,,,,,COMPLETE
5,5,0.039267830550670624,2024-08-04 09:44:03.583623,2024-08-04 09:46:03.017956,0 days 00:01:59.434333,16,sigmoid,softmax,0.060902360985232204,1,5,491,,,,,,,,,,95.0,283.0,199.0,170.0,243.0,,,,,,COMPLETE
6,6,9.382617463415954e-06,2024-08-04 09:46:03.046451,2024-08-04 09:51:45.825117,0 days 00:05:42.778666,9,elu,softmax,0.00046906848525786926,6,10,278,156.0,190.0,156.0,220.0,113.0,,,,,304.0,323.0,189.0,98.0,395.0,60.0,393.0,163.0,425.0,53.0,COMPLETE
7,7,0.0002956923271995038,2024-08-04 09:51:45.854566,2024-08-04 10:00:20.006522,0 days 00:08:34.151956,24,softmax,elu,0.00210236924993811,7,4,193,344.0,314.0,251.0,56.0,165.0,33.0,,,,205.0,71.0,349.0,32.0,,,,,,,COMPLETE
8,8,2.2146139144751942e-07,2024-08-04 10:00:20.034726,2024-08-04 10:04:53.711425,0 days 00:04:33.676699,36,tanh,tanh,0.0002949775860598222,6,4,372,134.0,427.0,184.0,384.0,365.0,,,,,321.0,439.0,189.0,28.0,,,,,,,COMPLETE
9,9,1.228721799861887e-07,2024-08-04 10:04:53.742389,2024-08-04 10:09:45.818409,0 days 00:04:52.076020,5,sigmoid,sigmoid,0.004678816086341822,8,6,254,353.0,254.0,360.0,361.0,124.0,260.0,212.0,,,86.0,188.0,406.0,476.0,88.0,331.0,,,,,COMPLETE
10,10,1.9524266647863442e-08,2024-08-04 10:09:45.856390,2024-08-04 10:19:17.683288,0 days 00:09:31.826898,20,softmax,sigmoid,0.0006758987765022343,6,10,170,467.0,332.0,385.0,166.0,174.0,,,,,354.0,88.0,21.0,258.0,205.0,476.0,187.0,29.0,231.0,37.0,COMPLETE
11,11,,2024-08-04 10:19:17.715011,2024-08-04 10:23:24.567922,0 days 00:04:06.852911,34,softmax,elu,1.779109332913092e-05,4,10,20,498.0,41.0,467.0,,,,,,,484.0,132.0,2.0,345.0,143.0,482.0,56.0,29.0,86.0,489.0,FAIL
12,12,,2024-08-04 10:23:32.540751,,,33,softmax,relu,3.4763935111230534e-05,4,10,6,486.0,33.0,494.0,,,,,,,473.0,149.0,2.0,339.0,147.0,492.0,53.0,17.0,78.0,496.0,RUNNING
13,13,8.367072013015786e-08,2024-08-04 10:25:22.426179,2024-08-04 10:32:08.768428,0 days 00:06:46.342249,32,softmax,relu,2.9331002305760947e-05,4,9,8,499.0,13.0,494.0,,,,,,,491.0,154.0,8.0,340.0,143.0,498.0,59.0,10.0,88.0,,COMPLETE
14,14,8.173966392632792e-08,2024-08-04 10:32:08.803960,2024-08-04 10:39:52.347891,0 days 00:07:43.543931,34,softmax,relu,1.3164919493818806e-05,4,10,6,497.0,16.0,494.0,,,,,,,496.0,146.0,5.0,337.0,132.0,498.0,34.0,21.0,59.0,464.0,COMPLETE
15,15,8.831840204948094e-06,2024-08-04 10:39:52.379828,2024-08-04 10:46:59.758554,0 days 00:07:07.378726,29,softmax,relu,6.143246841406474e-05,4,8,139,479.0,122.0,489.0,,,,,,,473.0,120.0,85.0,318.0,216.0,489.0,66.0,21.0,,,COMPLETE
16,16,,2024-08-04 10:46:59.789950,,,16,softmax,elu,1.1739630284615516e-05,10,7,3,434.0,10.0,405.0,119.0,296.0,487.0,7.0,18.0,471.0,408.0,45.0,106.0,284.0,15.0,340.0,229.0,,,,RUNNING
17,17,0.0002629642840474844,2024-08-04 10:52:22.845081,2024-08-04 11:02:23.617182,0 days 00:10:00.772101,15,softmax,elu,1.2743863164623087e-05,10,7,5,448.0,5.0,405.0,129.0,304.0,469.0,24.0,9.0,290.0,405.0,212.0,94.0,288.0,65.0,355.0,216.0,,,,COMPLETE
18,18,3.1056323734901525e-08,2024-08-04 11:02:23.657648,2024-08-04 11:12:39.589965,0 days 00:10:15.932317,40,softmax,relu,0.006648899318639957,4,10,294,8.0,495.0,406.0,,,,,,,413.0,51.0,8.0,406.0,373.0,419.0,214.0,427.0,22.0,491.0,COMPLETE
19,19,4.4918078145883555e-08,2024-08-04 11:12:39.622035,2024-08-04 11:19:53.708996,0 days 00:07:14.086961,42,softmax,sigmoid,0.008333251092548781,3,8,324,5.0,500.0,,,,,,,,415.0,32.0,295.0,453.0,392.0,355.0,253.0,486.0,,,COMPLETE
20,20,0.00026243593310937285,2024-08-04 11:19:53.741530,2024-08-04 11:27:26.717432,0 days 00:07:32.975902,19,softmax,relu,0.001771049829600524,5,10,383,3.0,478.0,13.0,225.0,,,,,,303.0,99.0,132.0,423.0,482.0,185.0,222.0,413.0,275.0,49.0,COMPLETE
21,21,2.1555432283548726e-07,2024-08-04 11:27:26.751802,2024-08-04 11:32:20.552972,0 days 00:04:53.801170,28,tanh,sigmoid,0.00940264947330512,8,8,308,221.0,374.0,366.0,15.0,245.0,12.0,472.0,,,149.0,58.0,146.0,233.0,331.0,418.0,318.0,311.0,,,COMPLETE
22,22,8.306832569360267e-06,2024-08-04 11:32:20.586563,2024-08-04 11:35:32.779431,0 days 00:03:12.192868,11,sigmoid,elu,0.001197233281651365,2,9,205,412.0,,,,,,,,,365.0,498.0,50.0,396.0,309.0,227.0,146.0,200.0,215.0,,COMPLETE
23,23,0.00026716155116446316,2024-08-04 11:35:32.816924,2024-08-04 11:45:58.819207,0 days 00:10:26.002283,43,softmax,softmax,0.00010736244518520941,5,6,223,240.0,193.0,409.0,123.0,,,,,,433.0,226.0,258.0,236.0,12.0,395.0,,,,,COMPLETE
24,24,6.173678457344067e-08,2024-08-04 11:45:58.851769,2024-08-04 11:54:43.400256,0 days 00:08:44.548487,24,softmax,tanh,0.003630123033611432,7,2,142,75.0,427.0,313.0,286.0,470.0,183.0,,,,276.0,375.0,,,,,,,,,COMPLETE
25,25,,2024-08-04 11:54:43.433026,2024-08-04 11:59:32.572704,0 days 00:04:49.139678,40,softmax,sigmoid,0.01433329462735514,3,8,333,11.0,481.0,,,,,,,,428.0,10.0,285.0,476.0,425.0,291.0,290.0,495.0,,,FAIL
26,26,,2024-08-04 12:02:42.468553,2024-08-04 12:04:36.903484,0 days 00:01:54.434931,41,softmax,sigmoid,0.014459432560068245,3,8,330,6.0,489.0,,,,,,,,426.0,5.0,298.0,482.0,427.0,315.0,296.0,491.0,,,FAIL
27,27,9.550283721182495e-06,2024-08-04 12:09:06.382789,2024-08-04 12:16:11.285186,0 days 00:07:04.902397,41,softmax,sigmoid,0.01382068837367817,3,8,338,33.0,499.0,,,,,,,,429.0,17.0,346.0,496.0,423.0,293.0,296.0,485.0,,,COMPLETE
28,28,3.377146276761778e-05,2024-08-04 12:16:11.327792,2024-08-04 12:24:48.672449,0 days 00:08:37.344657,49,softmax,sigmoid,0.0872524444083356,3,9,296,67.0,500.0,,,,,,,,351.0,50.0,278.0,420.0,323.0,416.0,166.0,497.0,216.0,,COMPLETE
29,29,4.051373636571043e-08,2024-08-04 12:24:48.705653,2024-08-04 12:30:13.575483,0 days 00:05:24.869830,37,softmax,sigmoid,0.0063141974804660295,2,10,377,13.0,,,,,,,,,408.0,2.0,318.0,384.0,395.0,422.0,495.0,372.0,4.0,486.0,COMPLETE
30,30,0.0002671891706995666,2024-08-04 12:30:13.610326,2024-08-04 12:36:12.244530,0 days 00:05:58.634204,36,softmax,sigmoid,0.018226626604536948,2,10,402,193.0,,,,,,,,,379.0,98.0,347.0,397.0,497.0,446.0,499.0,344.0,3.0,493.0,COMPLETE
31,31,0.0002965961757581681,2024-08-04 12:36:12.280570,2024-08-04 12:41:10.319515,0 days 00:04:58.038945,31,softmax,relu,0.03566128992517682,2,9,423,86.0,,,,,,,,,459.0,7.0,434.0,371.0,194.0,435.0,420.0,377.0,126.0,,COMPLETE
