,number,value,datetime_start,datetime_complete,duration,params_TIME_SERIES_SIZE,params_activation,params_filter_activation,params_learning_rate,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,state
0,0,0.0027475934475660324,2024-08-06 00:50:54.022536,2024-08-06 01:04:11.188186,0 days 00:13:17.165650,33,softmax,sigmoid,0.00017077920607542533,1,315,,,,,COMPLETE
1,1,27.651744842529297,2024-08-06 01:04:11.231199,2024-08-06 01:34:10.102079,0 days 00:29:58.870880,30,softmax,tanh,0.049277177628628696,2,487,450.0,,,,COMPLETE
2,2,6.591469059458177e-08,2024-08-06 01:34:10.137087,2024-08-06 02:07:13.903378,0 days 00:33:03.766291,45,sigmoid,tanh,0.0008262610784835401,2,425,336.0,,,,COMPLETE
3,3,,2024-08-06 02:07:13.937387,2024-08-06 02:18:16.944031,0 days 00:11:03.006644,26,elu,sigmoid,0.05319109281263765,4,28,83.0,220.0,48.0,,FAIL
4,4,0.00010550241131568328,2024-08-06 02:18:16.969037,2024-08-06 02:30:50.443648,0 days 00:12:33.474611,13,elu,relu,0.0017610934423648455,4,228,192.0,263.0,239.0,,COMPLETE
5,5,27.087228775024414,2024-08-06 02:30:50.478657,2024-08-06 03:15:17.635985,0 days 00:44:27.157328,49,softmax,tanh,0.007572512889621916,5,338,106.0,329.0,34.0,390.0,COMPLETE
6,6,0.002882614266127348,2024-08-06 03:15:17.670993,2024-08-06 03:29:22.912034,0 days 00:14:05.241041,10,softmax,elu,0.0007214411919054671,2,488,413.0,,,,COMPLETE
7,7,5.670407335855998e-05,2024-08-06 03:29:22.945041,2024-08-06 03:39:10.307164,0 days 00:09:47.362123,28,sigmoid,sigmoid,0.00017291958337148187,1,144,,,,,COMPLETE
8,8,0.00011827159323729575,2024-08-06 03:39:10.341172,2024-08-06 03:50:25.873995,0 days 00:11:15.532823,14,tanh,softmax,1.678240654300421e-05,3,392,67.0,184.0,,,COMPLETE
9,9,0.001231356174685061,2024-08-06 03:50:25.907002,2024-08-06 04:39:27.458311,0 days 00:49:01.551309,49,softmax,sigmoid,2.9713417438589756e-05,3,399,282.0,460.0,,,COMPLETE
10,10,1.32314966094782e-07,2024-08-06 04:39:27.492319,2024-08-06 04:53:03.857418,0 days 00:13:36.365099,10,elu,softmax,0.00011007394160364217,4,241,49.0,301.0,442.0,,COMPLETE
11,11,2.9700859727199713e-07,2024-08-06 04:53:03.891426,2024-08-06 05:07:01.598185,0 days 00:13:57.706759,39,sigmoid,tanh,0.008329405078442797,2,10,309.0,,,,COMPLETE
12,12,2.79390064861218e-06,2024-08-06 05:07:01.644196,2024-08-06 05:13:09.332215,0 days 00:06:07.688019,3,elu,softmax,0.00013122206834139264,4,190,165.0,47.0,486.0,,COMPLETE
13,13,0.000135125097585842,2024-08-06 05:13:09.364223,2024-08-06 05:43:07.750408,0 days 00:29:58.386185,19,sigmoid,softmax,0.0008543244340746468,5,138,11.0,499.0,498.0,26.0,COMPLETE
14,14,0.00010710569040384144,2024-08-06 05:43:07.787417,2024-08-06 06:50:59.448022,0 days 01:07:51.660605,39,elu,elu,6.412633679972262e-05,4,291,376.0,368.0,325.0,,COMPLETE
15,15,0.0455823577940464,2024-08-06 06:50:59.487030,2024-08-06 07:13:03.349451,0 days 00:22:03.862421,21,tanh,relu,0.00047020983070106785,3,53,494.0,151.0,,,COMPLETE
16,16,0.0011584889143705368,2024-08-06 07:13:03.383459,2024-08-06 07:22:10.187363,0 days 00:09:06.803904,5,elu,softmax,0.0035238132355245332,2,399,331.0,,,,COMPLETE
17,17,0.15972676873207092,2024-08-06 07:22:10.219370,2024-08-06 08:01:53.322792,0 days 00:39:43.103422,41,sigmoid,tanh,0.0003948841501295937,4,234,230.0,13.0,310.0,,COMPLETE
18,18,26.621807098388672,2024-08-06 08:01:53.359800,2024-08-06 08:20:33.155690,0 days 00:18:39.795890,21,sigmoid,softmax,0.04408885623128981,5,113,130.0,381.0,160.0,122.0,COMPLETE
19,19,27.17634391784668,2024-08-06 08:20:33.191699,2024-08-06 08:48:45.827934,0 days 00:28:12.636235,44,elu,tanh,1.0437090930113108e-05,1,275,,,,,COMPLETE
20,20,,2024-08-06 08:48:45.859941,2024-08-06 08:48:54.732490,0 days 00:00:08.872549,35,tanh,elu,3.873415012541019e-05,3,356,241.0,226.0,,,FAIL
