,number,value,datetime_start,datetime_complete,duration,params_TIME_SERIES_SIZE,params_activation,params_learning_rate,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,params_n_units_l5,params_n_units_l6,state
0,0,0.009398289956152439,2024-07-29 23:14:01.683987,2024-07-29 23:17:09.640431,0 days 00:03:07.956444,4,linear,0.003995357650972102,6,283,237.0,56.0,175.0,431.0,27.0,,COMPLETE
1,1,0.010057126171886921,2024-07-29 23:17:09.642142,2024-07-29 23:22:53.981437,0 days 00:05:44.339295,5,relu,9.488128440230103e-05,7,206,497.0,442.0,166.0,221.0,230.0,11.0,COMPLETE
2,2,0.010412970557808876,2024-07-29 23:22:53.983277,2024-07-29 23:24:41.331566,0 days 00:01:47.348289,4,relu,0.00023180967738794885,2,128,468.0,,,,,,COMPLETE
3,3,0.008605238050222397,2024-07-29 23:24:41.333565,2024-07-29 23:26:22.464217,0 days 00:01:41.130652,3,relu,0.0015537498495562445,2,270,367.0,,,,,,COMPLETE
4,4,0.008665884844958782,2024-07-29 23:26:22.467848,2024-07-29 23:30:04.883829,0 days 00:03:42.415981,5,linear,0.00020844471256354933,5,84,473.0,126.0,431.0,233.0,,,COMPLETE
5,5,0.007918293587863445,2024-07-29 23:30:04.884672,2024-07-29 23:31:14.710418,0 days 00:01:09.825746,3,tanh,0.00015692149288431685,1,348,,,,,,,COMPLETE
6,6,14147807870976.0,2024-07-29 23:31:14.711418,2024-07-29 23:34:55.235518,0 days 00:03:40.524100,3,linear,0.006206762151760273,7,24,258.0,276.0,182.0,265.0,420.0,344.0,COMPLETE
7,7,0.009681787341833115,2024-07-29 23:34:55.237844,2024-07-29 23:39:07.278377,0 days 00:04:12.040533,5,tanh,0.0075626975686033555,6,43,271.0,184.0,268.0,474.0,205.0,,COMPLETE
8,8,0.008361157029867172,2024-07-29 23:39:07.280013,2024-07-29 23:42:47.481208,0 days 00:03:40.201195,4,relu,0.00012379363336982108,6,102,439.0,272.0,201.0,182.0,355.0,,COMPLETE
9,9,0.00817945972084999,2024-07-29 23:42:47.482208,2024-07-29 23:49:58.338132,0 days 00:07:10.855924,5,tanh,0.013407279026852625,7,394,246.0,473.0,360.0,325.0,470.0,41.0,COMPLETE
10,10,0.011843387968838215,2024-07-29 23:49:58.340133,2024-07-29 23:51:35.984169,0 days 00:01:37.644036,3,tanh,1.159278057923163e-05,1,500,,,,,,,COMPLETE
11,11,0.026760060340166092,2024-07-29 23:51:35.986170,2024-07-29 23:55:32.156208,0 days 00:03:56.170038,4,tanh,0.07172039281843781,4,416,49.0,475.0,423.0,,,,COMPLETE
12,12,0.03916444629430771,2024-07-29 23:55:32.158209,2024-07-29 23:59:03.764856,0 days 00:03:31.606647,5,tanh,0.050652977598557185,4,365,105.0,374.0,341.0,,,,COMPLETE
13,13,0.010889368131756783,2024-07-29 23:59:03.765856,2024-07-30 00:01:18.957182,0 days 00:02:15.191326,3,tanh,1.7538833427321206e-05,3,378,161.0,364.0,,,,,COMPLETE
14,14,0.008290666155517101,2024-07-30 00:01:18.958183,2024-07-30 00:02:56.580508,0 days 00:01:37.622325,4,tanh,0.0007945422938548056,1,454,,,,,,,COMPLETE
15,15,0.009063070639967918,2024-07-30 00:02:56.581509,2024-07-30 00:06:08.377923,0 days 00:03:11.796414,3,tanh,0.020543323624665735,3,336,354.0,494.0,,,,,COMPLETE
16,16,0.009187310002744198,2024-07-30 00:06:08.379922,2024-07-30 00:08:57.813383,0 days 00:02:49.433461,5,tanh,0.0008345417674873472,5,322,172.0,353.0,11.0,10.0,,,COMPLETE
17,17,0.00934159941971302,2024-07-30 00:08:57.815383,2024-07-30 00:10:24.500292,0 days 00:01:26.684909,4,tanh,3.587367015568816e-05,3,228,14.0,184.0,,,,,COMPLETE
18,18,0.0065416619181632996,2024-07-30 00:10:24.501293,2024-07-30 00:13:40.354178,0 days 00:03:15.852885,3,tanh,0.02094532789727496,5,173,341.0,20.0,492.0,357.0,,,COMPLETE
19,19,0.00876377709209919,2024-07-30 00:13:40.356179,2024-07-30 00:16:53.399642,0 days 00:03:13.043463,3,linear,0.00034382807391782397,5,164,357.0,22.0,481.0,364.0,,,COMPLETE
