,number,value,datetime_start,datetime_complete,duration,params_TIME_SERIES_SIZE,params_activation,params_learning_rate,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,state
0,0,0.17415720224380493,2024-07-15 08:46:57.879291,2024-07-15 08:59:20.347753,0 days 00:12:22.468462,34,tanh,0.004731576922909283,3.0,27.0,67.0,65.0,COMPLETE
1,1,0.1321435570716858,2024-07-15 08:59:20.348754,2024-07-15 09:18:20.425689,0 days 00:19:00.076935,82,tanh,0.05267778043678605,2.0,35.0,86.0,,COMPLETE
2,2,0.20524363219738007,2024-07-15 09:18:20.426697,2024-07-15 09:26:59.544056,0 days 00:08:39.117359,33,relu,0.0004070399835755224,2.0,49.0,66.0,,COMPLETE
3,3,0.1795361489057541,2024-07-15 09:26:59.545056,2024-07-15 09:40:53.662206,0 days 00:13:54.117150,42,relu,0.0017437659344845592,3.0,32.0,29.0,63.0,COMPLETE
4,4,0.1625262349843979,2024-07-15 09:40:53.663207,2024-07-15 09:57:27.527412,0 days 00:16:33.864205,69,tanh,0.0017067930849430336,2.0,60.0,73.0,,COMPLETE
5,5,0.19061554968357086,2024-07-15 09:57:27.527412,2024-07-15 10:06:45.825040,0 days 00:09:18.297628,83,tanh,0.003917549920351806,1.0,40.0,,,COMPLETE
6,6,0.12597647309303284,2024-07-15 10:06:45.825040,2024-07-15 10:13:48.430478,0 days 00:07:02.605438,12,relu,0.012305906890670829,3.0,65.0,26.0,83.0,COMPLETE
7,7,0.1722753494977951,2024-07-15 10:13:48.430478,2024-07-15 10:22:59.561027,0 days 00:09:11.130549,52,tanh,0.005222978494291281,1.0,80.0,,,COMPLETE
8,8,0.6054311990737915,2024-07-15 10:22:59.562026,2024-07-15 10:36:16.618651,0 days 00:13:17.056625,87,relu,0.00019157306541602593,1.0,81.0,,,COMPLETE
9,9,0.2797343134880066,2024-07-15 10:36:16.619651,2024-07-15 10:45:14.313666,0 days 00:08:57.694015,69,relu,0.0012161634933631595,1.0,50.0,,,COMPLETE
10,10,0.11999884247779846,2024-07-15 10:45:14.314664,2024-07-15 10:50:43.604403,0 days 00:05:29.289739,10,relu,1.2860156988108032e-05,3.0,96.0,10.0,97.0,COMPLETE
11,11,0.12080428004264832,2024-07-15 10:50:43.605405,2024-07-15 10:56:42.909482,0 days 00:05:59.304077,11,relu,1.5091509124342255e-05,3.0,90.0,15.0,100.0,COMPLETE
12,12,0.11932355165481567,2024-07-15 10:56:42.909482,2024-07-15 11:04:01.627104,0 days 00:07:18.717622,12,relu,1.5999778669964022e-05,3.0,99.0,10.0,96.0,COMPLETE
13,13,0.1250625103712082,2024-07-15 11:04:01.627104,2024-07-15 11:10:11.950659,0 days 00:06:10.323555,18,relu,1.0348990350717076e-05,3.0,10.0,11.0,35.0,COMPLETE
14,14,0.1727529913187027,2024-07-15 11:10:11.951659,2024-07-15 11:27:34.666573,0 days 00:17:22.714914,23,relu,6.822704686772072e-05,3.0,99.0,43.0,97.0,COMPLETE
15,15,0.25121980905532837,2024-07-15 11:27:34.666573,2024-07-15 11:37:10.019536,0 days 00:09:35.352963,27,relu,4.541006027729651e-05,2.0,97.0,44.0,,COMPLETE
16,16,7.552159309387207,2024-07-15 11:37:10.020538,2024-07-15 11:58:08.586621,0 days 00:20:58.566083,46,relu,4.492065786699738e-05,3.0,75.0,29.0,80.0,COMPLETE
17,17,0.15518179535865784,2024-07-15 11:58:08.587621,2024-07-15 12:02:24.642003,0 days 00:04:16.054382,10,relu,0.0001721892102368105,2.0,89.0,10.0,,COMPLETE
18,18,0.9792171120643616,2024-07-15 12:02:24.642538,2024-07-15 12:32:34.448124,0 days 00:30:09.805586,96,relu,2.3956039124164062e-05,3.0,68.0,45.0,14.0,COMPLETE
19,19,0.3868146538734436,2024-07-15 12:32:34.449126,2024-07-15 12:46:04.383888,0 days 00:13:29.934762,61,relu,0.00014129308671055138,2.0,91.0,25.0,,COMPLETE
20,20,0.1691693216562271,2024-07-15 12:46:04.385394,2024-07-15 13:03:36.950213,0 days 00:17:32.564819,35,relu,0.0005470739946822746,3.0,74.0,99.0,81.0,COMPLETE
21,21,0.12566480040550232,2024-07-15 13:03:36.951213,2024-07-15 13:13:17.149864,0 days 00:09:40.198651,18,relu,1.111897036088774e-05,3.0,87.0,16.0,97.0,COMPLETE
22,22,0.11745689809322357,2024-07-15 13:13:17.149864,2024-07-15 13:20:26.870297,0 days 00:07:09.720433,11,relu,1.8400133435737296e-05,3.0,95.0,18.0,100.0,COMPLETE
23,23,0.27633458375930786,2024-07-15 13:20:26.871298,2024-07-15 13:32:26.812651,0 days 00:11:59.941353,25,relu,3.815640910999871e-05,3.0,99.0,20.0,86.0,COMPLETE
24,24,0.15000306069850922,2024-07-15 13:32:26.813653,2024-07-15 13:42:06.723136,0 days 00:09:39.909483,18,relu,8.865811907517358e-05,3.0,83.0,34.0,90.0,COMPLETE
25,25,0.17860783636569977,2024-07-15 13:42:06.724139,2024-07-15 13:55:23.120611,0 days 00:13:16.396472,28,relu,2.660019903430151e-05,3.0,95.0,37.0,73.0,COMPLETE
26,26,0.14537237584590912,2024-07-15 13:55:23.121610,2024-07-15 14:01:24.064531,0 days 00:06:00.942921,17,tanh,2.0365463722309574e-05,2.0,74.0,21.0,,COMPLETE
27,27,0.13699492812156677,2024-07-15 14:01:24.065582,2024-07-15 14:08:46.533133,0 days 00:07:22.467551,10,relu,8.766239862290315e-05,3.0,85.0,53.0,50.0,COMPLETE
28,28,0.1921345442533493,2024-07-15 14:08:46.533133,2024-07-15 14:21:35.542124,0 days 00:12:49.008991,41,relu,0.0004246449400773604,2.0,93.0,18.0,,COMPLETE
